feature,importance
cntry_of_risk,0.08310391
yeo_joh_top_3_shareholder_percentage,0.077172585
gics_sub_ind,0.07288149
issuer_cntry_domicile,0.05168754
top_1_shareholder_location,0.044892214
top_2_shareholder_location,0.039389912
yeo_joh_shares_outstanding,0.036341466
yeo_joh_top_2_shareholder_percentage,0.036323566
yeo_joh_top_1_shareholder_percentage,0.035792526
yeo_joh_shares_float,0.031357102
top_3_shareholder_location,0.03105086
yeo_joh_hist_net_debt_usd,0.029685866
yeo_joh_hist_gross_profit_usd,0.02955564
yeo_joh_hist_ev_usd,0.027535763
yeo_joh_return_usd,0.024859648
yeo_joh_vola,0.024816878
yeo_joh_beta,0.02385648
yeo_joh_hist_rd_exp_usd,0.021824822
gics_sector,0.02146248
random_feature,0.021096446
yeo_joh_hist_fcf_yld,0.020853598
yeo_joh_hist_capex_sales,0.020721948
yeo_joh_hist_roe,0.019556547
yeo_joh_hist_roa,0.019459527
yeo_joh_hist_net_chg_lt_debt_usd,0.018928122
yeo_joh_hist_ebitda_ev,0.017714808
yeo_joh_hist_eps_usd,0.017669255
yeo_joh_hist_roic,0.017298194
yeo_joh_market_cap_usd,0.016703518
yeo_joh_hist_capex_depr,0.016077088
yeo_joh_hist_asset_turnover,0.015175398
yeo_joh_hist_pe,0.015104699
yeo_joh_net_income_usd,0.01098867
yeo_joh_hist_book_px,0.0090614185
