feature,importance
issuer_cntry_domicile,0.0716582
cntry_of_risk,0.064829275
top_3_shareholder_percentage,0.05886904
gics_sub_ind,0.05168343
top_2_shareholder_location,0.032675598
gics_sector,0.031181242
market_cap_usd,0.030207276
hist_ev_usd,0.028910892
hist_gross_profit_usd,0.028088542
return_usd,0.027907241
top_3_shareholder_location,0.027783671
top_2_shareholder_percentage,0.027712995
hist_net_debt_usd,0.027670331
top_1_shareholder_location,0.027400875
top_1_shareholder_percentage,0.026335858
shares_outstanding,0.026205357
hist_fcf_yld,0.025793478
hist_ebitda_ev,0.025576407
shares_float,0.025521802
hist_roa,0.023940595
hist_rd_exp_usd,0.023753526
hist_capex_sales,0.02327306
hist_asset_turnover,0.023192441
vola,0.023100087
hist_pe,0.022877013
hist_roe,0.022301855
hist_capex_depr,0.022230761
hist_eps_usd,0.022203756
beta,0.022118287
hist_book_px,0.022049524
random_feature,0.0214106
net_income_usd,0.020795027
hist_roic,0.020552645
hist_net_chg_lt_debt_usd,0.020189347
