feature,importance
cntry_of_risk,0.08901194
top_3_shareholder_percentage,0.07333103
gics_sub_ind,0.061920423
issuer_cntry_domicile,0.043090623
top_1_shareholder_location,0.037873823
top_1_shareholder_percentage,0.037597325
hist_ev_usd,0.035285678
hist_gross_profit_usd,0.034532886
top_2_shareholder_location,0.034309857
shares_float,0.031789042
top_2_shareholder_percentage,0.03177664
hist_net_debt_usd,0.03125096
return_usd,0.031206137
beta,0.027227432
gics_sector,0.026990585
shares_outstanding,0.026887417
hist_rd_exp_usd,0.02645801
vola,0.02601819
hist_fcf_yld,0.024518952
hist_ebitda_ev,0.023429468
hist_eps_usd,0.021409983
hist_capex_depr,0.02131687
top_3_shareholder_location,0.020748554
hist_roic,0.020206206
hist_capex_sales,0.020164473
hist_roe,0.019765595
hist_asset_turnover,0.0196441
hist_roa,0.019535793
hist_pe,0.018919349
net_income_usd,0.017895745
market_cap_usd,0.016609594
hist_net_chg_lt_debt_usd,0.015190029
hist_book_px,0.014087321
